network_family,industry,shock_attribute,supplier_count,alternative_supplier_count,port_count,alternative_port_count,factory_count,warehouse_count,distribution_center_count,network_depth,network_edge_count,network_node_count,supplier_concentration,port_dependency,single_point_of_failure,average_route_distance_km,critical_route_distance_km,alternate_route_distance_km,average_supplier_reliability,minimum_supplier_reliability,average_supplier_availability,average_capacity_utilization,maximum_capacity_utilization,factory_capacity_utilization,warehouse_capacity_utilization,inventory_days,safety_stock_days,shock_type_encoded,shock_severity,shock_duration_days,affected_node_importance,affected_capacity_change_pct,affected_availability_change_pct,affected_congestion_change_pct,affected_supply_percent,affected_production_percent,additional_transit_days,additional_transport_cost_pct,alternate_route_available,alternate_route_count,alternate_route_delay_days,alternate_route_cost_increase_pct,rerouted_supply_percent,usd_inr,crude_price,commodity_price,inflation_rate,freight_index,cost_impact_pct,delay_days,risk_score
synth_16,Aerospace,availability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1140.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.307,4.96,0.6,26.08,30.69,12.27,0.0,8.45,0.5,8.57,1.0,4.0,0.5,8.57,58.02,82.64,84.54,99.8,6.11,137.86,10.32,1.0,16.0
automotive_chennai,Automotive,congestion,2.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,60.0,85.0,1.0,2198.57,920.0,920.0,0.94,0.92,0.925,80.2,88.0,88.0,82.0,13.5,4.5,2.0,0.163,30.51,0.5,11.42,8.16,16.31,8.16,16.31,3.23,9.79,0.0,0.0,3.23,9.79,0.0,82.6,86.4,105.92,4.37,111.97,9.58,4.8,27.9
synth_25,Heavy Machinery,availability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,740.94,1481.89,1481.89,0.947,0.947,0.881,74.7,80.77,80.77,74.7,29.71,5.94,0.0,0.603,44.03,0.6,51.27,60.31,24.13,60.31,60.31,13.28,21.11,0.0,0.0,13.28,21.11,0.0,81.3,75.84,101.4,4.33,136.68,22.07,18.9,65.4
synth_19,Energy,availability,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,3.0,0.79,27.77,0.9,67.17,79.03,31.61,39.51,79.03,10.97,27.66,0.0,0.0,10.97,27.66,0.0,85.18,78.12,99.77,5.81,154.14,31.32,15.2,71.6
synth_16,Aerospace,transport_cost,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1140.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.0,19.1,0.6,0.0,0.0,0.0,0.0,0.0,0.5,8.57,1.0,4.0,0.5,8.57,65.0,82.62,66.33,97.2,6.29,126.17,4.43,0.4,7.1
synth_20,Energy,transport_cost,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1240.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,3.0,0.0,48.3,0.95,0.0,0.0,0.0,0.0,0.0,1.0,15.71,1.0,4.0,1.0,15.71,50.0,81.28,79.76,103.79,4.97,132.42,10.01,1.6,16.4
industrial_equipment_coimbatore,Industrial Equipment,reliability,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,75.0,0.0,279.17,785.0,960.0,0.935,0.92,0.945,72.8,84.0,84.0,76.0,26.0,8.5,0.0,0.462,8.86,0.6,39.29,46.23,18.49,2.81,22.75,0.5,16.33,1.0,3.0,0.5,16.33,54.48,83.53,74.9,95.38,4.21,121.22,16.96,0.5,18.4
synth_21,Construction,reliability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,591.07,1182.14,1182.14,0.88,0.88,0.956,78.34,86.52,70.15,78.34,20.21,7.34,0.0,0.364,30.36,0.6,30.95,36.41,14.56,36.41,36.41,5.53,12.74,0.0,0.0,5.53,12.74,0.0,81.65,85.5,109.04,5.07,115.16,14.66,8.3,43.4
synth_4,Textiles,severity,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,5.0,0.364,61.63,0.6,36.36,36.36,18.18,18.18,36.36,11.21,12.73,0.0,0.0,11.21,12.73,0.0,80.49,81.48,103.27,5.3,180.52,18.5,12.5,49.1
synth_6,Chemicals,availability,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,43.79,0.0,0.0,542.96,1434.29,1434.29,0.834,0.795,0.883,72.0,82.0,82.0,70.0,18.18,7.33,4.0,0.267,31.89,0.6,22.71,26.71,10.69,0.0,26.71,0.0,0.0,1.0,3.0,0.0,0.0,45.33,83.68,81.84,97.08,6.34,109.69,7.03,0.0,8.4
synth_22,Construction,transport_cost,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,61.09,0.0,0.0,412.2,1039.8,1039.8,0.875,0.783,0.883,72.0,82.0,82.0,70.0,20.65,7.33,2.0,1.0,13.75,0.5,0.0,0.0,0.0,33.75,76.4,0.0,160.66,1.0,4.0,0.0,160.66,32.5,82.27,96.35,91.22,4.47,107.15,65.0,0.3,43.5
synth_25,Heavy Machinery,reliability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,740.94,1481.89,1481.89,0.947,0.947,0.881,74.7,80.77,80.77,74.7,29.71,5.94,0.0,0.305,13.77,0.6,25.93,30.51,12.2,30.51,23.34,2.1,10.68,0.0,0.0,2.1,10.68,0.0,84.35,79.41,104.85,5.53,122.43,11.72,4.1,29.3
industrial_equipment_coimbatore,Industrial Equipment,severity,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,75.0,0.0,279.17,785.0,785.0,0.935,0.92,0.945,72.8,84.0,84.0,76.0,26.0,8.5,2.0,1.0,10.25,0.5,100.0,100.0,50.0,50.0,56.95,5.13,35.0,0.0,0.0,5.13,35.0,0.0,84.92,74.51,96.37,5.54,122.96,28.18,5.4,54.0
synth_32,Plastics,transit_time_days,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,3.0,0.0,31.77,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,50.0,85.25,81.94,103.74,7.03,150.21,4.18,0.7,9.5
synth_17,Energy,availability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,382.13,764.27,764.27,0.824,0.824,0.933,77.02,81.19,81.19,77.02,28.15,5.99,3.0,0.663,9.75,0.9,56.37,66.31,26.53,33.16,22.97,3.23,23.21,0.0,0.0,3.23,23.21,0.0,82.57,74.21,101.75,6.53,91.52,14.17,5.9,35.4
industrial_equipment_ahmedabad,Industrial Equipment,transit_time_days,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,60.0,75.0,0.0,365.0,910.0,910.0,0.93,0.92,0.935,72.6,85.0,85.0,78.0,28.0,9.25,0.0,0.0,7.83,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,40.0,83.49,83.16,114.03,5.23,124.12,1.8,-0.0,3.0
pharma_gujarat,Pharmaceuticals,severity,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,80.0,0.0,309.17,1025.0,715.0,0.935,0.92,0.95,72.6,82.0,82.0,74.0,27.5,10.0,0.0,0.84,25.4,0.6,84.05,84.05,42.02,31.69,84.05,0.0,0.0,1.0,3.0,0.0,0.0,45.88,81.38,82.4,105.06,4.87,125.31,22.47,0.8,40.9
synth_6,Chemicals,availability,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,43.79,0.0,0.0,542.96,1434.29,1434.29,0.834,0.795,0.883,72.0,82.0,82.0,70.0,18.18,7.33,0.0,0.373,12.27,0.6,31.74,37.34,14.94,0.0,25.44,0.0,0.0,1.0,4.0,0.0,0.0,38.06,82.85,83.76,112.19,6.16,137.26,9.41,0.0,12.5
synth_31,Plastics,transport_cost,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,1.0,0.0,7.56,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,85.14,91.0,103.84,5.12,125.15,4.62,-0.0,6.2
synth_32,Plastics,congestion,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.515,12.99,0.6,36.03,25.74,51.47,5.24,37.15,1.0,12.87,1.0,4.0,1.0,12.87,40.99,81.71,86.03,99.53,6.7,105.65,17.03,1.0,23.2
synth_17,Energy,transport_cost,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,382.13,764.27,764.27,0.824,0.824,0.933,77.02,81.19,81.19,77.02,28.15,5.99,2.0,1.0,2.0,0.5,0.0,0.0,0.0,50.0,11.11,1.0,176.6,0.0,0.0,1.0,176.6,0.0,85.54,91.41,95.85,5.74,128.15,65.0,4.9,53.1
synth_3,Textiles,transit_time_days,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,5050.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,2.0,1.0,35.69,0.5,40.0,40.0,60.0,33.75,100.0,29.11,50.14,1.0,1.0,29.11,50.14,32.5,84.4,85.31,101.1,5.69,113.91,46.18,29.9,76.5
automotive_pune,Automotive,transport_cost,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,186.67,585.0,585.0,0.92,0.9,0.92,75.6,86.0,86.0,75.0,15.0,4.75,4.0,0.0,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.82,89.32,87.82,4.56,75.0,1.19,0.0,3.0
synth_23,Construction,availability,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,5.0,0.716,6.88,0.75,60.89,71.63,28.65,35.82,27.37,2.46,25.07,0.0,0.0,2.46,25.07,0.0,84.64,65.0,107.31,6.94,120.42,18.54,5.2,44.3
consumer_goods_mumbai,Consumer Goods,transport_cost,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,60.0,80.0,0.0,265.0,495.0,495.0,0.915,0.9,0.93,76.2,85.0,85.0,80.0,16.5,5.5,1.0,0.0,16.64,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,20.0,83.7,80.75,98.57,5.07,153.4,4.44,0.5,6.3
synth_9,Food Processing,congestion,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,308.11,616.22,616.22,0.956,0.956,0.951,89.09,89.69,89.69,89.09,21.96,11.37,0.0,0.658,6.51,1.0,46.06,32.9,65.8,32.9,23.79,2.78,39.48,0.0,0.0,2.78,39.48,0.0,82.93,65.0,106.55,5.66,149.27,24.46,5.4,43.7
synth_31,Plastics,severity,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,5.0,0.278,16.66,0.75,27.83,27.83,13.92,13.92,25.75,2.32,9.74,0.0,0.0,2.32,9.74,0.0,79.0,95.33,107.77,5.26,82.65,11.53,4.0,25.7
synth_7,Chemicals,transit_time_days,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,5.0,0.0,23.62,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.18,85.54,100.12,5.87,126.74,2.51,0.0,5.6
industrial_equipment_ahmedabad,Industrial Equipment,availability,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,60.0,75.0,0.0,365.0,910.0,910.0,0.93,0.92,0.935,72.6,85.0,85.0,78.0,28.0,9.25,2.0,0.0,17.95,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.7,86.93,95.85,4.47,135.84,4.21,0.0,4.5
synth_14,Aerospace,capacity,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,59.13,0.0,0.0,523.46,1153.49,1153.49,0.845,0.794,0.883,72.0,82.0,82.0,70.0,22.06,7.33,3.0,0.882,45.07,0.95,88.2,70.56,52.92,44.1,88.2,19.88,30.87,0.0,0.0,19.88,30.87,0.0,83.9,87.9,97.65,7.78,79.6,30.54,22.4,79.8
synth_31,Plastics,capacity,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,1.0,0.73,22.93,0.6,73.03,58.43,43.82,10.74,73.03,0.0,0.0,1.0,1.0,0.0,0.0,22.33,84.42,81.43,105.67,5.6,114.87,16.49,0.3,25.9
synth_19,Energy,availability,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,3.0,0.627,4.93,0.9,53.33,62.74,25.1,31.37,17.2,1.55,21.96,0.0,0.0,1.55,21.96,0.0,85.47,102.19,108.44,5.6,131.63,18.31,3.9,37.3
synth_12,Food Processing,reliability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1080.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.652,12.71,0.6,55.4,65.18,26.07,13.29,46.01,0.2,2.86,1.0,4.0,0.2,2.86,38.59,84.97,73.22,112.16,4.2,150.52,15.66,0.0,23.9
synth_23,Construction,severity,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,3.0,0.168,6.83,0.9,16.8,16.8,8.4,8.4,6.37,0.57,5.88,0.0,0.0,0.57,5.88,0.0,82.38,83.68,103.25,4.12,170.66,10.36,1.0,15.2
synth_17,Energy,availability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,382.13,764.27,764.27,0.824,0.824,0.933,77.02,81.19,81.19,77.02,28.15,5.99,0.0,0.293,15.87,0.6,24.95,29.35,11.74,29.35,25.87,2.33,10.27,0.0,0.0,2.33,10.27,0.0,85.19,85.4,107.25,6.41,109.29,11.37,4.3,27.8
synth_2,Textiles,congestion,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,64.97,0.0,0.0,480.97,1024.87,1024.87,0.82,0.79,0.883,72.0,82.0,82.0,70.0,20.8,7.33,4.0,0.456,61.46,0.6,31.91,22.79,45.59,1.78,45.59,4.2,11.4,1.0,3.0,4.2,11.4,42.02,83.66,89.21,97.97,6.74,134.17,18.95,4.3,33.6
synth_2,Textiles,transport_cost,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,64.97,0.0,0.0,480.97,1024.87,1024.87,0.82,0.79,0.883,72.0,82.0,82.0,70.0,20.8,7.33,2.0,1.0,23.77,0.5,0.0,0.0,0.0,33.75,100.0,0.0,177.16,1.0,4.0,0.0,177.16,32.5,85.97,87.52,93.55,6.06,124.67,65.0,0.6,44.7
industrial_equipment_ahmedabad,Industrial Equipment,severity,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,60.0,75.0,0.0,365.0,910.0,910.0,0.93,0.92,0.935,72.6,85.0,85.0,78.0,28.0,9.25,2.0,0.829,7.91,0.5,82.88,82.88,41.44,23.69,36.42,0.0,0.0,1.0,3.0,0.0,0.0,35.5,83.28,77.5,103.16,5.85,82.41,11.31,0.7,24.9
consumer_goods_delhi,Consumer Goods,transit_time_days,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,225.83,720.0,720.0,0.925,0.91,0.94,76.6,86.0,86.0,78.0,17.0,6.0,4.0,0.0,59.59,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.65,86.79,99.11,6.28,149.33,6.7,0.0,9.9
synth_14,Aerospace,severity,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,59.13,0.0,0.0,523.46,1153.49,1153.49,0.845,0.794,0.883,72.0,82.0,82.0,70.0,22.06,7.33,0.0,0.123,6.33,1.0,12.27,12.27,6.14,6.14,4.31,0.39,4.29,0.0,0.0,0.39,4.29,0.0,84.56,67.28,91.75,3.94,117.87,3.69,0.6,7.1
electronics_bengaluru,Electronics,congestion,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,65.0,80.0,0.0,1386.43,4505.0,95.0,0.93,0.91,0.95,75.0,85.0,85.0,78.0,18.0,6.0,0.0,0.725,5.33,0.6,50.75,36.25,72.49,22.87,21.47,0.0,0.0,1.0,1.0,0.0,0.0,48.51,82.62,94.74,92.55,5.2,121.13,12.51,0.2,22.7
consumer_goods_delhi,Consumer Goods,transport_cost,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,225.83,720.0,720.0,0.925,0.91,0.94,76.6,86.0,86.0,78.0,17.0,6.0,2.0,1.0,61.0,0.5,0.0,0.0,0.0,50.0,100.0,30.5,273.27,0.0,0.0,30.5,273.27,0.0,82.8,73.9,97.26,5.48,93.5,65.0,36.8,81.1
synth_4,Textiles,reliability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1140.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.292,5.71,0.6,24.86,29.24,11.7,0.0,9.28,0.5,8.57,1.0,4.0,0.5,8.57,58.35,79.0,92.64,112.77,4.91,94.53,9.81,0.4,12.9
synth_21,Construction,severity,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,591.07,1182.14,1182.14,0.88,0.88,0.956,78.34,86.52,70.15,78.34,20.21,7.34,3.0,0.737,14.87,0.9,73.68,73.68,36.84,36.84,54.2,5.48,25.79,0.0,0.0,5.48,25.79,0.0,80.21,76.3,100.21,5.17,106.85,21.19,9.2,52.1
synth_10,Food Processing,availability,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,64.86,0.0,0.0,558.6,968.86,968.86,0.831,0.768,0.883,72.0,82.0,82.0,70.0,22.28,7.33,4.0,0.896,2.23,0.6,76.19,89.64,35.85,27.66,9.08,0.0,0.0,1.0,3.0,0.0,0.0,34.31,82.44,79.15,106.07,4.24,118.19,8.02,0.0,24.1
synth_8,Chemicals,reliability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,5.0,0.726,3.98,0.6,61.7,72.59,29.04,36.3,16.05,1.44,25.41,0.0,0.0,1.44,25.41,0.0,83.28,81.7,105.86,6.25,123.89,16.2,1.0,34.4
synth_26,Heavy Machinery,capacity,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,59.01,0.0,0.0,494.32,699.05,699.05,0.844,0.792,0.883,72.0,82.0,82.0,70.0,18.99,7.33,0.0,0.343,25.28,0.6,34.3,27.44,20.58,0.0,34.3,0.0,0.0,1.0,4.0,0.0,0.0,10.62,81.96,67.77,103.67,4.88,119.89,6.91,0.2,10.8
