ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
0xa19d,INDORES01DEL01,26.0,4.6,22.695207,75.866059,22.805207,75.976059,06-03-2022,17:40,17:50,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,43
0xcddc,BHPRES07DEL01,22.0,4.6,0.0,0.0,0.01,0.01,15-02-2022,08:45,08:50,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Metropolitian,14
0x5978,MUMRES16DEL01,22.0,5.0,19.120083,72.907385,19.130083,72.917385,28-03-2022,0.5,12:10,Cloudy,High,1,Buffet,scooter,1.0,No,Urban,28
0x2463,INDORES20DEL02,35.0,4.8,22.732225,75.874765,22.862225,76.004765,14-03-2022,18:10,18:25,Sandstorms,Medium,0,Buffet,motorcycle,3.0,Yes,Metropolitian,49
0xcd01,LUDHRES03DEL03,37.0,4.8,30.88722,75.804893,31.02722,75.944893,14-02-2022,18:15,18:30,Cloudy,Medium,0,Snack,motorcycle,1.0,Yes,Metropolitian,43
0x93e0,MUMRES03DEL02,35.0,5.0,19.22384,72.841347,19.35384,72.971347,18-03-2022,17:30,17:40,Windy,Medium,1,Buffet,scooter,0.0,No,Metropolitian,23
0x3109,MYSRES09DEL01,20.0,4.7,12.323194,76.630583,12.363194,76.670583,15-03-2022,15:30,15:45,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,28
0xc03e,KOCRES03DEL01,23.0,4.7,-10.020683,76.310631,10.130683,76.420631,12-02-2022,21:30,21:35,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27
0x64f,RANCHIRES11DEL01,,,23.359194,85.325447,23.369194,85.335447,09-03-2022,09:45,0.416666667,Sunny,Low,1,Buffet,scooter,,No,Metropolitian,24
0xbbe3,RANCHIRES09DEL01,33.0,4.8,23.351058,85.325731,23.391058,85.365731,19-03-2022,12:30,12:35,Cloudy,High,0,Meal,motorcycle,0.0,No,Metropolitian,25
0xb06a,CHENRES15DEL03,30.0,4.7,13.026286,80.275235,13.086286,80.335235,11-03-2022,21:30,21:45,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,37
0xd5bb,BHPRES16DEL01,21.0,4.9,23.264015,77.408236,23.334015,77.478236,18-02-2022,22:50,22:55,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28
0x682e,HYDRES18DEL01,35.0,3.5,17.450851,78.379347,17.560851,78.489347,29-03-2022,17:50,0.75,Stormy,Medium,2,Meal,scooter,1.0,No,Urban,37
0x12c5,INDORES16DEL02,21.0,4.7,22.744648,75.894377,22.794648,75.944377,28-03-2022,20:10,20:15,Windy,Jam,2,Drinks,scooter,1.0,No,Urban,10
0x68a0,CHENRES08DEL01,24.0,4.7,13.022394,80.242439,13.132394,80.352439,10-03-2022,21:45,21:50,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,28
0xb6d4,BANGRES01DEL02,24.0,4.3,12.933284,77.615428,13.063284,77.745428,27-03-2022,17:20,17:35,Fog,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,39
0x4291,SURRES03DEL01,34.0,3.8,21.186884,72.793616,21.296884,72.903616,18-03-2022,22:15,22:30,Cloudy,Low,1,Meal,scooter,1.0,No,Metropolitian,39
0x2714,COIMBRES16DEL02,37.0,4.7,11.010375,76.95295,11.140375,77.08295,18-03-2022,20:55,21:05,Cloudy,Jam,2,Meal,scooter,0.0,No,Metropolitian,43
0x27a4,INDORES010DEL02,21.0,4.7,22.75004,75.902847,22.77004,75.922847,03-04-2022,08:35,08:50,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,19
0x4338,BANGRES06DEL03,39.0,4.6,12.979096,77.640625,13.039096,77.700625,30-03-2022,20:30,20:45,Windy,Jam,2,Buffet,motorcycle,2.0,No,Urban,34
0xd690,ALHRES03DEL02,23.0,4.7,25.451517,81.832616,25.471517,81.852616,13-02-2022,11:10,11:25,Windy,High,0,Snack,motorcycle,0.0,No,Urban,19
0x6170,MYSRES11DEL03,,,12.323225,76.630028,12.413225,76.720028,06-04-2022,,23:45,,,3,Buffet,electric_scooter,0.0,No,Metropolitian,18
0x4d29,MUMRES15DEL03,22.0,4.5,19.176269,72.836721,19.266269,72.926721,06-04-2022,22:30,22:35,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,24
0xad7a,CHENRES010DEL03,36.0,4.3,13.066762,80.251865,13.096762,80.281865,13-03-2022,22:20,22:25,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,33
0x824c,PUNERES09DEL02,38.0,3.2,18.536562,73.896485,18.616562,73.976485,12-03-2022,23:30,23:35,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,32
0x793f,HYDRES16DEL02,37.0,4.9,17.440827,78.393391,17.490827,78.443391,17-03-2022,19:35,19:40,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27
0xa5c0,MUMRES06DEL02,39.0,4.7,19.055831,72.833984,19.105831,72.883984,28-03-2022,17:45,17:50,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,30
0x4208,CHENRES02DEL02,34.0,4.6,13.086438,80.220672,13.216439,80.350672,04-03-2022,20:10,20:20,Cloudy,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,48
0x2f7e,MYSRES02DEL01,34.0,4.5,12.304569,76.643622,12.374569,76.713622,25-03-2022,23:40,23:55,Fog,Low,2,Snack,scooter,0.0,No,Metropolitian,26
0xa5cd,MYSRES01DEL03,38.0,4.7,12.311072,76.654878,12.401072,76.744878,02-04-2022,21:40,21:55,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,41
0x8eb9,COIMBRES19DEL03,21.0,4.9,11.022298,76.998349,11.082298,77.058349,03-04-2022,18:35,18:50,Sandstorms,Medium,2,Meal,scooter,0.0,No,Metropolitian,20
0x9235,MUMRES08DEL03,27.0,4.5,19.065838,72.832658,19.125838,72.892658,13-03-2022,21:10,21:20,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,22
0x8ac9,JAPRES08DEL01,37.0,3.5,26.910262,75.783013,26.980262,75.853013,02-03-2022,19:35,19:50,Stormy,Jam,2,Snack,scooter,2.0,No,Metropolitian,40
0x323b,BANGRES01DEL02,29.0,4.9,12.933284,77.615428,13.063284,77.745428,02-03-2022,19:50,20:05,Sunny,Jam,2,Snack,motorcycle,0.0,No,Urban,19
0x2d09,BANGRES09DEL03,34.0,4.8,12.934179,77.615797,12.994179,77.675797,30-03-2022,23:25,23:30,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23
0x755f,VADRES01DEL02,23.0,4.8,22.307898,73.167788,22.327898,73.187788,01-03-2022,09:55,10:10,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Urban,19
0x1972,CHENRES07DEL01,27.0,4.1,13.081878,80.248519,13.091878,80.258519,03-03-2022,10:55,11:10,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23
0xe216,KNPRES13DEL03,39.0,4.0,26.481547,80.299775,26.511547,80.329775,13-02-2022,20:25,20:40,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,37
0xda78,KNPRES04DEL01,21.0,4.6,26.471529,80.313458,26.511529,80.353458,11-02-2022,13:35,13:45,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,15
0x51e2,JAPRES18DEL03,31.0,4.7,26.913987,75.752891,27.053987,75.892891,08-03-2022,23:25,23:40,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20
0x19d4,MUMRES14DEL02,25.0,4.5,19.1813,72.836191,19.3113,72.966191,29-03-2022,17:55,0.75,Stormy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,23
0x9da1,INDORES20DEL03,29.0,4.8,22.732225,75.874765,22.762225,75.904765,30-03-2022,18:25,18:30,Windy,Medium,2,Buffet,scooter,1.0,No,Urban,23
0x71cd,CHENRES13DEL02,23.0,4.7,13.027018,80.254791,13.157018,80.384791,02-03-2022,21:45,21:55,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,39
0x9054,PUNERES01DEL01,30.0,4.8,18.569156,73.774723,18.679156,73.884723,25-03-2022,0.916666667,22:15,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,41
0x8aab,INDORES16DEL01,33.0,4.0,22.744648,75.894377,22.784648,75.934377,05-04-2022,14:15,14:30,Windy,High,1,Meal,motorcycle,1.0,No,Urban,31
0x4858,BANGRES02DEL01,39.0,4.6,12.970221,77.645396,13.040221,77.715396,31-03-2022,18:35,18:50,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,22
0x3b7c,CHENRES20DEL03,32.0,4.4,12.975996,80.221898,13.005996,80.251898,15-03-2022,19:15,19:30,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,33
0xb7fa,HYDRES20DEL01,39.0,4.5,17.483216,78.552111,17.553216,78.622111,08-03-2022,23:55,1,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28
0x6aef,JAPRES010DEL03,27.0,4.5,26.921411,75.793604,26.951411,75.823604,03-03-2022,23:10,23:25,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21
0x360d,CHENRES01DEL02,30.0,4.2,13.005801,80.250744,13.135801,80.380744,14-03-2022,18:50,0.791666667,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,47
0x42dc,INDORES02DEL03,36.0,4.8,22.651847,75.881991,22.741847,75.971991,16-03-2022,18:20,18:30,Fog,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,35
0x44ad,HYDRES19DEL02,23.0,4.6,17.458998,78.500366,17.588998,78.630366,10-03-2022,19:30,19:35,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,33
0x4f56,MUMRES02DEL02,35.0,4.6,19.221315,72.862381,19.301315,72.942381,04-04-2022,18:45,18:55,Cloudy,Medium,0,Buffet,motorcycle,3.0,No,Metropolitian,48
0xaf57,INDORES04DEL02,28.0,4.7,22.753659,75.903365,22.833659,75.983365,18-03-2022,19:40,19:45,Cloudy,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,40
0x5ce,VADRES17DEL02,,,0.0,0.0,0.02,0.02,07-03-2022,,0.375,Stormy,Low,2,Meal,scooter,1.0,No,Urban,12
0x5bd9,MUMRES01DEL01,21.0,4.8,19.12663,72.829976,19.16663,72.869976,05-03-2022,15:25,15:35,Windy,Medium,2,Buffet,scooter,1.0,No,,27
0x3cd9,HYDRES11DEL01,39.0,4.7,17.430448,78.418213,17.440448,78.428213,24-03-2022,08:20,08:35,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,27
0x56e9,MYSRES16DEL03,32.0,4.9,12.316967,76.603067,12.406967,76.693067,06-03-2022,21:20,21:35,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,45
0xccfd,ALHRES08DEL02,33.0,5.0,25.450329,81.834279,25.580329,81.964279,18-02-2022,23:45,1,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,26
0x496b,MUMRES01DEL02,31.0,4.2,19.12663,72.829976,19.14663,72.849976,26-03-2022,10:55,11:05,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,32
0x3c0b,MUMRES04DEL03,35.0,5.0,19.254567,72.848923,19.284567,72.878923,11-03-2022,23:15,23:25,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,24
0xb7e2,PUNERES11DEL03,35.0,4.8,18.533811,73.899315,18.563811,73.929315,15-03-2022,19:20,19:35,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,33
0x2de3,INDORES19DEL02,37.0,4.7,22.745536,75.893106,22.765536,75.913106,01-03-2022,09:45,09:55,Sunny,Low,1,Snack,scooter,0.0,No,Metropolitian,10
0x1081,JAPRES15DEL02,,,26.891191,75.802083,26.941191,75.852083,01-03-2022,,23:20,Cloudy,Low,2,Snack,electric_scooter,,No,Metropolitian,14
0xaaa4,RANCHIRES08DEL03,26.0,4.7,23.353783,85.326967,23.443783,85.416967,18-03-2022,0.958333333,23:05,Stormy,Low,1,Buffet,scooter,1.0,No,Urban,18
0x8547,VADRES01DEL02,35.0,4.4,22.307898,73.167788,22.357898,73.217788,19-03-2022,21:50,21:55,Cloudy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,36
0x5bbb,MUMRES17DEL01,39.0,4.2,19.121999,72.908493,19.231999,73.018493,06-03-2022,19:20,19:25,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,40
0x4619,PUNERES04DEL02,29.0,4.9,18.51421,73.838429,18.64421,73.968429,23-03-2022,18:50,19:05,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Urban,16
0x31d0,SURRES18DEL02,29.0,4.9,21.149834,72.778666,21.169834,72.798666,03-03-2022,0.375,09:10,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15
0x32d9,SURRES16DEL02,,,21.160437,72.774209,21.180437,72.794209,01-03-2022,11:10,11:15,Windy,High,2,Snack,electric_scooter,0.0,No,Metropolitian,29
0x13a0,JAPRES02DEL01,,,26.914142,75.805704,26.924142,75.815704,07-03-2022,,08:50,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,18
0x9e3d,RANCHIRES05DEL03,26.0,4.9,23.355164,85.324097,23.385164,85.354097,30-03-2022,21:50,21:55,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,26
0x13ef,MYSRES06DEL02,29.0,4.6,12.323994,76.626167,12.403994,76.706167,25-03-2022,17:55,0.75,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,33
0x5f16,VADRES14DEL01,38.0,4.0,22.311603,73.165012,22.351603,73.205012,28-03-2022,12:50,0.541666667,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,35
0x197f,MUMRES07DEL02,37.0,4.6,19.091458,72.827808,19.171458,72.907808,20-03-2022,23:10,23:15,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,29
0xb60b,RANCHIRES15DEL01,39.0,4.8,23.369746,85.33982,23.379746,85.34982,21-03-2022,09:25,09:35,Fog,Low,0,Snack,motorcycle,1.0,No,Urban,24
0xd5ef,AGRRES17DEL02,32.0,4.8,27.157772,78.04725,27.177772,78.06725,13-02-2022,10:15,10:20,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,24
0xc9d2,GOARES19DEL03,35.0,4.6,0.0,0.0,0.09,0.09,16-02-2022,17:30,17:35,Sandstorms,Medium,2,Meal,scooter,0.0,No,Metropolitian,23
0xcfbe,DEHRES03DEL03,39.0,4.6,30.335259,78.053162,30.395259,78.113162,15-02-2022,21:55,0.916666667,Cloudy,Jam,2,Meal,scooter,0.0,No,Urban,30
0x4546,PUNERES06DEL03,37.0,3.6,18.546258,73.904337,18.636258,73.994337,12-03-2022,17:40,17:50,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,36
0x8227,JAPRES16DEL01,22.0,4.3,26.849596,75.800512,26.919596,75.870512,18-03-2022,19:50,0.833333333,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36
0xd737,KOCRES17DEL03,23.0,4.9,9.959778,76.296106,10.049778,76.386106,16-02-2022,20:15,20:30,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28
0x7567,INDORES11DEL01,36.0,5.0,22.751234,75.88949,22.761234,75.89949,01-03-2022,10:10,10:25,Sunny,Low,1,Drinks,scooter,1.0,No,Metropolitian,12
0xd3fe,KOLRES010DEL02,26.0,4.8,22.538999,88.322337,22.588999,88.372337,15-02-2022,0.916666667,22:05,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,20
0x4abf,RANCHIRES15DEL01,30.0,4.7,23.369746,85.33982,23.479746,85.44982,06-04-2022,22:35,22:40,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,25
0x443e,VADRES13DEL01,26.0,4.6,22.310237,73.158921,22.320237,73.168921,21-03-2022,10:35,10:50,Sunny,Low,0,Buffet,motorcycle,0.0,No,Urban,12
0x1fb1,MYSRES06DEL02,29.0,5.0,12.323994,76.626167,12.453994,76.756167,27-03-2022,22:25,22:30,Fog,Low,1,Drinks,motorcycle,1.0,No,Urban,23
0x3a26,MYSRES15DEL01,27.0,4.5,12.352058,76.60665,12.362058,76.61665,11-03-2022,09:50,09:55,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,17
0x9956,JAPRES19DEL03,38.0,4.0,26.913726,75.75282,27.053726,75.89282,23-03-2022,19:45,19:50,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,41
0xa4b1,COIMBRES07DEL03,26.0,5.0,10.96185,76.971082,11.02185,77.031082,13-03-2022,17:30,17:40,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28
0x9ae7,COIMBRES03DEL03,37.0,5.0,11.025083,77.015393,11.085083,77.075393,13-03-2022,22:20,22:25,Sunny,Low,2,Snack,motorcycle,0.0,No,Urban,16
0xa540,HYDRES20DEL01,31.0,4.9,17.483216,78.552111,17.593216,78.662111,02-04-2022,18:30,18:45,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,30
0x649a,INDORES05DEL02,35.0,4.7,22.727021,75.884167,22.807021,75.964167,18-03-2022,20:30,20:45,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,26
0x26a2,VADRES08DEL03,32.0,4.5,0.0,0.0,0.06,0.06,19-03-2022,23:35,23:50,Stormy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,21
0x8699,SURRES15DEL02,20.0,4.6,21.160522,72.771477,21.290522,72.901477,23-03-2022,22:50,23:05,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18
0x9d8d,INDORES20DEL01,33.0,4.6,22.732225,75.874765,22.742225,75.884765,01-04-2022,11:40,11:50,Stormy,High,1,Buffet,motorcycle,1.0,No,Urban,30
0x9165,BANGRES09DEL01,22.0,4.7,12.934179,77.615797,13.044179,77.725797,06-03-2022,21:50,21:55,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Urban,17
0x655f,COIMBRES11DEL01,21.0,4.9,11.001753,76.986241,11.111753,77.096241,20-03-2022,21:15,21:25,Sunny,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,23
0x8cc6,VADRES17DEL01,33.0,4.9,0.0,0.0,0.01,0.01,07-03-2022,09:15,09:30,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17
0xc9c1,ALHRES09DEL02,33.0,4.3,0.0,0.0,0.05,0.05,15-02-2022,22:35,22:50,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,22
0x30c1,INDORES06DEL01,28.0,4.6,22.728163,75.884212,22.768163,75.924212,24-03-2022,14:20,14:30,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,28
0xd1f6,GOARES19DEL01,25.0,4.5,0.0,0.0,0.01,0.01,11-02-2022,09:20,09:30,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,15
0xc60a,KOLRES20DEL02,36.0,4.8,22.514119,88.362504,22.644119,88.492504,12-02-2022,18:35,18:50,Windy,Medium,2,Meal,electric_scooter,1.0,No,Urban,28
0x949b,COIMBRES14DEL01,24.0,3.2,11.003681,76.975525,11.113681,77.085525,06-04-2022,1,24:10:00,Sunny,Low,2,Drinks,scooter,0.0,Yes,Metropolitian,44
0xab23,JAPRES04DEL03,24.0,5.0,26.902328,75.794257,26.962328,75.854257,05-03-2022,20:25,20:30,Windy,Jam,0,Drinks,motorcycle,1.0,No,Urban,28
0xe25f,LUDHRES13DEL03,31.0,4.0,30.893234,75.82172,30.923234,75.85172,17-02-2022,21:45,0.916666667,Fog,Jam,2,Meal,scooter,0.0,No,Metropolitian,32
0x98dc,MYSRES13DEL02,30.0,4.8,12.310972,76.659264,12.360972,76.709264,11-03-2022,17:55,18:05,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28
0x2857,RANCHIRES06DEL01,24.0,4.7,23.357804,85.325146,23.397804,85.365146,07-03-2022,15:15,15:30,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,13
0x9be3,SURRES03DEL02,27.0,4.3,21.186884,72.793616,21.316884,72.923616,06-04-2022,17:25,17:30,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,32
0xaa1f,HYDRES03DEL02,21.0,4.7,17.422819,78.449578,17.472819,78.499578,07-03-2022,23:55,24:05:00,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23
0xb0cc,MYSRES07DEL01,38.0,4.9,12.325461,76.632278,12.395461,76.702278,29-03-2022,23:10,23:20,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,15
0x338f,INDORES16DEL02,31.0,5.0,22.744648,75.894377,22.874648,76.024377,06-04-2022,0.791666667,19:10,Sunny,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,18
0xb712,CHENRES05DEL02,28.0,4.8,13.058616,80.264151,13.188616,80.394151,16-03-2022,19:50,0.833333333,Sandstorms,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,23
0xc6a,PUNERES14DEL03,22.0,4.7,18.516216,73.842527,18.576216,73.902527,30-03-2022,20:35,20:50,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,26
0xd318,GOARES01DEL02,38.0,4.8,15.576683,73.75575,15.656683,73.83575,12-02-2022,17:30,17:35,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,26
