industry,import_dependency,supplier_concentration,major_suppliers_count,alternative_suppliers_count,avg_lead_time_days,inventory_days,safety_stock_days,monthly_procurement_lakhs,port_dependency,road_dependency,transport_mode,primary_port,shock_type,duration_days,severity_pct,crude_price_change_pct,usd_inr_change_pct,freight_index_change_pct,commodity_price_change_pct,inflation_rate_pct,port_congestion_pct,road_congestion_pct,transport_delay_days,cost_impact_pct,lead_time_impact_days,risk_score
Electronics,72.4,38.6,1,1,25.1,16.7,8.9,15.1,93.4,66.6,Road,Cochin Port,None (Normal Baseline),0.0,0.0,-3.0,-0.34,7.19,1.6,4.54,25.4,37.8,1.3,0.89,0.6,24.9
Automotive,64.0,65.1,6,0,12.7,6.3,2.9,294.9,44.6,98.0,Rail,Chennai Port,Cyclone Alert & Coastal Freight Halt,12.0,86.0,2.62,1.68,15.67,10.99,5.31,81.8,37.9,1.6,9.78,8.3,70.0
Textiles,39.0,70.7,4,7,15.9,17.4,9.1,33.3,61.6,89.8,Sea,Chennai Port,Cyclone Alert & Coastal Freight Halt,34.0,37.6,7.94,1.36,4.84,4.75,5.64,58.9,15.0,2.8,8.11,6.3,42.6
Steel & Metallurgy,5.7,82.8,3,3,28.1,13.9,7.4,42.2,16.7,37.8,Rail,Hazira (Surat),Currency Depreciation (USD/INR Spike),32.0,85.5,15.5,9.76,5.43,2.74,7.23,29.3,32.5,1.9,6.03,3.4,33.0
Pharmaceuticals,73.7,61.2,4,0,31.6,26.7,8.3,465.8,53.8,98.0,Sea,Visakhapatnam,Major Port Congestion & Strike,30.0,51.2,7.1,2.05,59.36,6.4,6.42,55.7,46.1,5.7,15.49,12.5,55.0
Engineering,43.1,65.2,6,1,22.1,26.6,9.2,80.9,45.3,93.7,Road,JNPT (Navi Mumbai),Major Port Congestion & Strike,39.0,40.9,0.92,2.05,37.96,10.45,7.33,75.4,31.8,4.6,12.4,9.0,42.9
Textiles,22.8,25.6,6,3,4.7,26.1,10.3,30.3,42.0,45.0,Road,Visakhapatnam,Monsoon Flooding & Highway Blockade,12.0,46.8,15.09,2.96,3.17,-2.93,5.67,33.1,82.6,5.3,5.7,6.2,27.4
Chemicals,42.7,52.3,3,0,17.5,43.0,18.4,925.1,40.9,73.6,Road,Mundra (Gujarat),Major Port Congestion & Strike,30.0,42.9,12.42,0.43,37.27,9.46,6.39,63.6,37.1,4.7,13.83,7.6,38.6
Pharmaceuticals,45.9,72.3,3,1,38.3,28.6,10.8,599.2,94.5,75.2,Road,Visakhapatnam,Currency Depreciation (USD/INR Spike),37.0,66.7,15.77,6.92,-2.02,10.81,5.25,49.9,37.4,1.9,15.08,11.5,57.6
Chemicals,68.1,33.9,6,3,8.6,26.4,7.4,130.5,34.6,51.8,Rail,Kolkata & Haldia,Global Container Shortage,32.0,93.2,13.42,0.67,120.26,1.76,6.07,63.4,31.8,2.9,13.81,8.0,46.9
Electronics,52.4,21.9,5,2,21.0,18.5,9.5,1413.5,96.0,75.2,Road,JNPT (Navi Mumbai),Monsoon Flooding & Highway Blockade,6.0,35.8,9.6,2.87,8.96,1.39,8.43,45.9,71.0,5.4,8.68,9.1,42.5
Chemicals,39.2,64.1,3,1,16.3,29.3,13.0,23.8,36.9,52.6,Multimodal,Cochin Port,Labor Union Agitation,27.0,41.7,5.62,0.88,5.58,3.06,5.97,47.4,48.4,4.5,6.52,7.2,30.3
Chemicals,62.1,68.1,5,1,14.6,16.6,8.1,276.7,42.1,75.4,Rail,Cochin Port,None (Normal Baseline),0.0,0.0,-2.98,-0.04,-7.84,5.15,4.05,21.8,36.2,0.4,0.0,0.1,15.5
Textiles,29.4,41.8,3,5,4.0,27.8,14.4,130.7,34.5,69.7,Road,JNPT (Navi Mumbai),Major Port Congestion & Strike,28.0,32.4,6.06,0.99,30.96,-6.36,4.72,61.9,55.1,3.9,6.51,6.2,27.1
Electronics,80.6,32.5,4,0,15.0,33.6,16.0,1025.3,99.0,49.6,Road,Mundra (Gujarat),Labor Union Agitation,44.0,55.2,8.16,4.88,-0.83,3.89,5.52,52.5,60.8,5.5,13.88,14.7,55.3
Textiles,30.6,83.8,1,3,8.8,32.5,14.8,16.9,34.8,74.7,Road,Kolkata & Haldia,Currency Depreciation (USD/INR Spike),37.0,60.6,9.39,6.08,14.03,6.91,8.0,43.1,38.3,1.0,8.98,4.0,34.5
Automotive,56.4,65.5,7,0,19.0,22.4,10.2,747.1,48.1,87.0,Road,Mundra (Gujarat),Cyclone Alert & Coastal Freight Halt,24.0,79.6,3.25,1.26,22.18,2.94,4.36,78.6,40.3,3.8,10.13,11.6,52.6
Steel & Metallurgy,45.4,65.7,3,0,21.7,18.8,8.7,898.5,0.0,79.4,Road,Hazira (Surat),Major Port Congestion & Strike,22.0,51.0,10.64,3.12,31.43,2.3,5.74,72.8,46.5,5.9,8.52,7.5,44.1
FMCG,45.1,20.9,5,4,11.0,19.8,7.5,641.3,56.9,54.2,Rail,Kolkata & Haldia,Cyclone Alert & Coastal Freight Halt,28.0,58.0,8.81,0.37,9.89,-0.35,3.86,74.0,48.6,2.7,6.67,9.0,38.7
Pharmaceuticals,43.6,68.3,1,4,23.3,22.5,10.6,2696.4,55.5,79.3,Road,JNPT (Navi Mumbai),Labor Union Agitation,25.0,67.6,-1.53,0.59,5.48,2.87,5.26,59.5,48.1,6.1,8.39,11.7,47.4
FMCG,52.6,71.9,3,2,9.3,29.0,13.7,52.5,19.6,69.0,Road,Chennai Port,None (Normal Baseline),0.0,0.0,-1.89,0.72,-2.84,-1.28,5.93,17.4,17.9,0.8,1.19,0.5,18.1
Automotive,72.4,91.3,2,3,9.1,14.4,5.5,30.5,72.9,52.3,Road,Hazira (Surat),Critical Raw Material Shortage,22.0,36.1,11.9,2.78,14.67,39.21,5.53,40.8,33.4,1.9,19.66,4.7,54.3
FMCG,25.1,45.2,3,5,6.4,22.2,5.7,1092.9,15.6,42.4,Multimodal,Kolkata & Haldia,Cyclone Alert & Coastal Freight Halt,42.0,62.9,-0.04,3.51,41.39,4.41,3.68,69.0,55.6,2.5,5.85,4.7,31.0
Electronics,58.2,66.0,6,0,15.1,24.4,8.4,10.2,58.4,74.1,Rail,JNPT (Navi Mumbai),Global Container Shortage,7.0,73.6,-5.62,1.99,95.6,-1.58,6.52,57.7,25.5,3.5,14.19,7.9,48.1
Steel & Metallurgy,10.3,44.6,2,2,12.6,23.5,12.7,20.7,49.7,80.9,Sea,Cochin Port,Labor Union Agitation,23.0,86.1,8.04,0.83,0.71,5.46,3.91,53.0,37.9,6.4,9.91,10.9,46.9
FMCG,33.5,65.1,3,4,23.5,33.8,13.8,12.0,23.5,55.7,Air,Visakhapatnam,Labor Union Agitation,23.0,87.5,7.45,4.96,-0.9,11.11,7.55,44.7,66.9,4.4,10.44,8.6,35.1
FMCG,6.6,38.2,5,2,8.9,7.3,2.8,148.5,14.9,98.0,Road,Kolkata & Haldia,Import Tariff & Trade Restriction,12.0,27.6,4.14,0.67,14.8,15.56,3.92,36.4,38.1,3.3,6.9,3.8,41.3
Textiles,25.3,49.7,3,5,12.7,35.5,8.9,599.1,42.6,58.2,Rail,JNPT (Navi Mumbai),Crude Oil Surge & Fuel Surcharge,41.0,33.5,16.31,4.08,4.07,7.56,5.63,49.7,55.6,3.9,10.46,6.8,35.1
Chemicals,59.3,79.0,7,3,20.6,35.7,9.6,91.1,57.5,59.7,Road,JNPT (Navi Mumbai),Crude Oil Surge & Fuel Surcharge,36.0,82.6,52.79,-0.93,2.45,-4.18,6.97,54.0,54.9,1.3,12.8,8.8,45.9
Chemicals,66.7,59.1,1,3,4.0,25.9,13.0,273.7,81.5,48.1,Road,Mundra (Gujarat),Critical Raw Material Shortage,28.0,60.4,6.85,1.65,11.27,49.46,5.44,15.0,35.7,2.4,22.54,4.9,51.8
Steel & Metallurgy,7.7,95.0,3,3,4.2,15.1,7.5,223.7,53.4,70.3,Multimodal,Cochin Port,Cyclone Alert & Coastal Freight Halt,21.0,76.4,-1.1,0.23,30.65,4.05,7.24,87.8,45.5,3.0,8.71,8.5,48.1
Engineering,57.1,48.5,4,4,21.7,16.4,5.1,771.0,29.8,69.3,Road,Mundra (Gujarat),Currency Depreciation (USD/INR Spike),18.0,56.9,-8.52,7.29,-1.35,11.4,7.04,37.0,39.9,0.8,8.48,3.4,35.6
FMCG,31.8,75.2,2,3,15.7,15.7,4.0,672.7,40.4,74.3,Road,Cochin Port,Labor Union Agitation,5.0,84.2,10.29,0.65,9.69,0.9,5.78,36.4,37.3,5.2,6.38,8.4,44.8
Textiles,14.3,61.1,3,4,7.3,26.2,8.7,11.3,55.7,70.0,Road,Visakhapatnam,Currency Depreciation (USD/INR Spike),23.0,50.0,0.87,4.43,8.06,10.02,8.74,19.5,32.2,2.7,7.13,4.6,30.2
Steel & Metallurgy,37.9,23.7,4,4,19.2,31.4,13.5,1655.1,22.6,98.0,Road,Kolkata & Haldia,Labor Union Agitation,5.0,34.1,12.42,2.08,14.87,5.76,5.69,51.2,54.1,3.5,6.73,5.5,22.6
Chemicals,46.7,80.6,1,2,21.6,25.7,8.7,18.2,63.6,76.1,Road,Cochin Port,Global Container Shortage,32.0,85.6,13.22,0.31,90.6,11.35,6.43,54.8,24.1,4.4,23.89,11.6,68.8
Chemicals,74.6,72.5,2,3,25.6,17.8,9.2,51.5,71.5,55.2,Road,Mundra (Gujarat),Currency Depreciation (USD/INR Spike),14.0,26.0,5.02,4.45,-1.07,3.91,3.89,44.3,15.0,2.4,7.41,4.7,38.6
Chemicals,58.2,24.5,1,2,14.0,12.8,3.9,119.9,35.6,43.3,Sea,Hazira (Surat),Currency Depreciation (USD/INR Spike),40.0,63.4,-1.68,6.01,14.15,11.31,6.93,16.4,49.5,1.9,11.16,4.7,47.6
Textiles,34.5,51.8,5,2,22.0,24.7,7.2,348.2,24.2,72.1,Road,Cochin Port,Cyclone Alert & Coastal Freight Halt,35.0,72.2,14.48,0.58,11.96,3.83,6.27,81.5,39.1,2.1,7.47,6.8,37.5
Engineering,48.8,63.2,6,5,19.1,28.1,10.3,429.2,48.3,70.1,Road,Chennai Port,Labor Union Agitation,16.0,43.2,1.09,4.84,-2.91,5.95,5.14,50.9,48.9,3.2,7.18,6.9,31.3
Engineering,36.4,27.2,10,2,16.4,34.1,11.0,99.5,99.0,38.7,Road,Chennai Port,Currency Depreciation (USD/INR Spike),34.0,89.3,6.6,7.06,17.54,2.04,7.55,16.0,56.5,1.0,9.57,4.9,37.8
Electronics,76.6,39.4,4,2,23.3,20.8,10.5,98.4,86.9,74.7,Sea,Mundra (Gujarat),Critical Raw Material Shortage,23.0,66.6,6.55,1.33,-3.25,50.59,5.69,47.4,32.2,4.0,24.22,10.5,68.0
Chemicals,47.4,53.5,2,2,9.5,16.3,5.2,10.1,72.2,44.3,Sea,Cochin Port,Crude Oil Surge & Fuel Surcharge,34.0,47.8,42.53,2.67,4.32,-0.68,7.26,15.0,36.0,2.8,9.88,4.8,44.9
Pharmaceuticals,55.1,95.0,3,3,24.7,38.6,11.5,27.9,57.5,82.0,Road,JNPT (Navi Mumbai),Import Tariff & Trade Restriction,10.0,71.6,10.42,3.51,26.94,17.79,5.62,15.0,15.0,2.7,13.85,5.7,41.0
Automotive,63.7,27.7,4,3,11.9,17.9,6.6,21.2,75.0,44.9,Sea,Chennai Port,Critical Raw Material Shortage,11.0,46.9,-0.07,1.84,8.81,39.73,5.3,20.3,34.8,3.3,16.01,4.9,42.9
Electronics,79.0,45.4,2,3,7.8,12.5,4.7,724.7,84.4,59.7,Road,Mundra (Gujarat),Critical Raw Material Shortage,30.0,56.5,2.83,2.38,8.31,45.8,6.04,18.8,44.5,1.5,21.18,5.7,65.2
Steel & Metallurgy,50.5,58.7,2,2,15.4,37.4,16.6,46.0,64.1,79.6,Sea,Visakhapatnam,Cyclone Alert & Coastal Freight Halt,6.0,85.6,-0.89,2.63,38.54,6.95,4.47,84.6,54.0,2.2,11.16,8.1,38.8
Textiles,32.5,80.6,4,5,16.2,32.1,14.5,544.7,7.6,75.6,Sea,Hazira (Surat),Major Port Congestion & Strike,9.0,30.4,-0.77,1.43,35.43,-2.04,5.43,53.1,59.6,2.5,2.56,4.2,17.0
Pharmaceuticals,81.3,67.3,2,3,20.3,24.0,12.4,447.6,60.8,91.2,Rail,Chennai Port,Import Tariff & Trade Restriction,44.0,56.0,9.23,2.08,13.78,4.21,5.11,35.0,49.5,2.5,11.72,7.9,47.3
Steel & Metallurgy,22.6,81.8,6,3,15.5,21.8,11.2,1125.5,42.8,76.1,Sea,Visakhapatnam,Global Container Shortage,20.0,86.3,2.61,1.46,107.68,5.88,8.79,56.7,36.2,3.6,14.76,8.2,53.6
Textiles,8.0,15.0,6,4,5.6,34.6,9.9,373.3,41.3,47.5,Road,Chennai Port,Global Container Shortage,23.0,48.5,7.26,2.47,99.75,4.8,6.02,51.1,44.4,1.5,10.38,4.2,28.2
Electronics,40.6,64.9,2,1,31.3,14.0,5.2,1654.6,86.7,65.7,Road,JNPT (Navi Mumbai),Labor Union Agitation,7.0,64.2,-2.69,4.0,15.97,6.4,7.56,55.5,57.5,4.7,10.86,10.6,58.7
FMCG,40.0,55.8,2,2,4.6,14.6,3.8,153.9,35.3,51.5,Sea,Kolkata & Haldia,Crude Oil Surge & Fuel Surcharge,6.0,60.9,39.82,1.66,13.64,12.45,4.91,52.5,39.9,2.3,11.84,4.4,41.9
Electronics,74.0,82.2,2,4,24.4,34.2,16.2,26.4,77.7,62.9,Sea,JNPT (Navi Mumbai),Monsoon Flooding & Highway Blockade,25.0,70.8,7.14,3.21,-0.26,6.99,7.61,32.4,68.2,5.5,10.5,12.1,45.8
Chemicals,60.7,84.0,3,4,11.1,30.9,12.6,1111.5,28.2,59.7,Rail,Hazira (Surat),Global Container Shortage,19.0,82.5,8.1,1.76,89.34,8.49,5.16,57.0,37.7,0.7,10.37,4.7,37.2
Steel & Metallurgy,40.2,49.6,7,1,19.5,28.9,14.7,2959.7,21.7,60.6,Road,Chennai Port,Import Tariff & Trade Restriction,15.0,26.0,4.58,1.01,13.29,16.14,5.03,30.2,37.5,2.5,6.35,2.8,23.2
Pharmaceuticals,51.0,86.8,5,1,22.0,43.9,20.4,294.7,74.9,63.8,Rail,Hazira (Surat),Critical Raw Material Shortage,27.0,89.8,2.08,1.02,9.23,66.38,5.85,36.1,31.0,3.4,30.06,9.9,61.5
Electronics,62.0,49.0,1,5,20.1,14.2,5.2,24.0,99.0,35.2,Air,Mundra (Gujarat),Critical Raw Material Shortage,26.0,74.2,9.23,2.11,13.91,48.35,4.72,35.5,65.0,4.0,25.27,9.9,78.6
Electronics,94.1,76.5,1,0,17.3,20.4,5.5,33.3,61.6,61.8,Road,Mundra (Gujarat),None (Normal Baseline),0.0,0.0,-4.65,1.48,-10.15,-1.03,4.61,14.5,32.1,0.1,0.63,0.9,25.6
Automotive,26.7,34.0,3,3,14.1,6.5,3.0,264.6,8.2,85.3,Sea,Hazira (Surat),None (Normal Baseline),0.0,0.0,2.05,0.21,-4.16,0.04,4.72,34.6,25.2,1.7,1.23,0.5,15.8
Engineering,43.6,83.1,1,2,18.4,25.2,11.2,37.1,93.3,27.3,Rail,Visakhapatnam,None (Normal Baseline),0.0,0.0,2.59,-0.26,0.92,-0.08,5.94,27.1,26.6,1.5,1.57,0.7,20.6
Automotive,57.0,42.1,5,2,12.6,18.4,8.0,721.9,56.8,62.4,Road,JNPT (Navi Mumbai),Critical Raw Material Shortage,31.0,27.8,-1.1,0.4,2.66,37.09,5.61,15.0,15.0,1.8,11.81,2.6,35.7
FMCG,40.8,91.4,2,4,8.3,8.6,4.3,1994.0,39.6,51.0,Road,Kolkata & Haldia,Labor Union Agitation,12.0,44.7,10.16,1.18,-1.04,2.75,7.06,39.7,53.2,3.2,5.19,5.1,48.2
Engineering,37.0,66.4,3,1,14.0,18.1,6.1,12.7,66.8,95.7,Rail,Visakhapatnam,Import Tariff & Trade Restriction,41.0,86.9,0.66,3.23,30.67,29.66,5.2,32.2,20.3,2.0,21.17,7.5,65.5
Steel & Metallurgy,12.8,43.4,2,0,4.0,26.1,8.7,27.5,53.1,53.3,Air,JNPT (Navi Mumbai),None (Normal Baseline),0.0,0.0,-1.04,0.76,-4.47,-4.27,3.76,20.4,32.2,0.2,1.66,0.3,14.8
Electronics,41.7,47.5,4,3,20.5,18.7,5.9,10.9,72.6,48.6,Sea,Hazira (Surat),Critical Raw Material Shortage,14.0,47.9,7.13,1.62,8.75,39.42,8.21,53.2,47.2,2.6,16.35,6.3,48.2
Engineering,21.4,26.8,2,2,22.3,16.0,8.7,264.8,47.3,72.5,Sea,Hazira (Surat),Import Tariff & Trade Restriction,39.0,49.6,1.21,3.53,10.08,8.08,5.16,34.2,29.8,4.0,7.98,6.9,43.2
Pharmaceuticals,49.3,71.1,1,1,36.0,23.5,12.5,59.2,78.8,42.7,Rail,Kolkata & Haldia,Global Container Shortage,19.0,67.9,7.08,2.53,64.11,1.85,3.61,62.3,44.8,3.0,16.17,10.1,54.8
Steel & Metallurgy,33.1,84.6,3,1,15.6,11.9,5.5,17.3,24.2,44.9,Sea,Hazira (Surat),Monsoon Flooding & Highway Blockade,43.0,69.5,-1.62,4.35,9.62,13.16,5.07,56.8,78.3,8.2,13.77,12.2,76.0
Chemicals,55.0,83.4,3,4,22.0,33.7,11.7,38.0,68.1,58.4,Sea,Chennai Port,Cyclone Alert & Coastal Freight Halt,26.0,79.8,6.44,1.3,34.07,10.44,6.24,65.0,31.4,1.3,13.75,8.5,44.3
Electronics,79.8,70.6,3,0,14.5,20.2,6.5,1138.6,72.9,69.9,Road,Visakhapatnam,Labor Union Agitation,22.0,28.5,6.5,1.02,5.13,4.59,5.62,42.5,37.6,4.7,7.84,7.3,42.6
Automotive,43.9,56.0,3,1,9.7,6.7,2.1,61.2,44.4,58.3,Road,Kolkata & Haldia,Currency Depreciation (USD/INR Spike),34.0,44.6,4.7,7.66,-2.01,6.82,6.99,33.5,61.2,3.1,9.23,5.7,63.7
Textiles,21.1,46.7,3,0,7.8,42.5,13.1,388.2,19.5,74.4,Sea,Kolkata & Haldia,None (Normal Baseline),0.0,0.0,-0.98,0.37,-3.2,0.7,5.29,22.9,20.1,1.0,3.0,0.0,19.4
Textiles,14.5,47.6,4,6,16.3,22.4,10.7,42.3,22.8,81.2,Road,Mundra (Gujarat),Import Tariff & Trade Restriction,6.0,78.6,8.71,0.29,17.67,18.83,5.43,33.1,44.9,4.0,11.26,6.2,36.4
Automotive,40.7,16.9,3,0,7.6,31.3,13.0,27.1,68.1,42.4,Multimodal,Cochin Port,Currency Depreciation (USD/INR Spike),32.0,36.6,5.66,6.06,17.73,5.84,6.61,31.1,50.6,3.3,9.77,6.6,37.6
Engineering,49.8,34.5,2,3,14.7,25.0,7.0,1147.6,49.2,76.6,Road,Kolkata & Haldia,Major Port Congestion & Strike,35.0,47.6,-0.91,2.07,45.67,9.62,5.36,60.0,33.5,2.5,10.79,6.9,36.6
Textiles,19.1,40.3,3,3,4.0,38.3,19.6,173.2,49.8,78.4,Road,Kolkata & Haldia,Cyclone Alert & Coastal Freight Halt,26.0,41.3,14.64,2.22,12.47,-4.03,6.0,79.1,28.5,3.3,8.05,7.3,30.0
Automotive,42.3,90.5,5,3,13.9,20.8,8.7,77.3,33.4,58.3,Sea,Visakhapatnam,Cyclone Alert & Coastal Freight Halt,8.0,52.7,5.07,1.37,34.61,8.39,5.66,74.1,35.9,3.0,7.8,5.2,32.5
FMCG,20.3,37.4,5,5,10.0,14.8,4.6,28.0,32.4,68.3,Road,Chennai Port,Major Port Congestion & Strike,38.0,27.7,-4.26,4.05,48.02,1.15,5.54,46.2,33.8,3.9,7.57,5.8,37.9
